Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,125,10451,7450,3880,491,1701,49,1300,9900,0,0
C:\Users\elinn_000\Desktop\Gray Horizons,125,10451,7450,3880,491,1701,49,1300,9900,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons,120,10211,7272,3790,480,1660,49,1279,9746,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker,2,165,131,73,10,25,0,9,71,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\Properties,1,28,11,2,0,8,0,9,71,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\obj\x86,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\obj\x86\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Content,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Content\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Content\obj\x86,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Content\obj\x86\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Windows.DirectX,3,75,47,17,1,16,0,12,83,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Windows.DirectX\Properties,1,31,14,3,0,8,0,9,71,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions,24,1223,839,394,31,146,24,238,2411,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Debugging,6,276,185,102,9,37,6,54,576,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\Game,5,241,167,91,7,28,5,46,484,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\MenuNavigation,5,241,168,78,7,28,5,45,480,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl,8,465,319,123,8,53,8,93,871,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes,6,244,117,50,5,27,6,100,853,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities,13,734,497,283,27,90,13,147,1385,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Cars,2,115,81,49,5,13,2,21,206,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Projectiles,2,59,34,18,0,7,2,18,192,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks,8,259,139,75,0,24,8,96,880,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions,5,261,135,51,12,25,5,101,918,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Input,4,512,394,176,38,75,0,43,220,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic,27,2983,2183,1152,205,540,0,260,1416,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Maps,2,266,226,94,0,36,0,4,20,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives,5,202,165,94,4,37,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens,10,1171,953,561,44,209,0,9,23,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\HeadsUp,3,353,282,160,11,66,0,5,9,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound,7,209,161,76,6,41,0,7,15,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects,7,362,293,157,13,50,0,19,99,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty,4,1164,620,316,56,220,0,324,2221,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty\GameStateManagement,3,933,476,228,40,192,0,265,1768,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\UI,3,415,327,189,22,88,0,0,0,0,0
